District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden(M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
24,Manikganj,41.78,41.21,38.55,0.00,0.00,0.00,,88.17,89.78,91.04,88.17,89.78
25,Munshiganj,22.79,22.92,20.41,0.00,0.00,0.00,,129.21,140.17,126.71,129.21,140.17
26,Narayanganj,5.12,5.44,5.40,0.00,0.00,0.00,,32.88,32.72,28.93,32.88,32.72
27,Narsingdi,22.51,22.65,23.27,0.05,0.00,0.00,,31.28,37.16,29.38,31.28,37.16
28,Rajbari,7.57,7.56,8.02,0.00,0.00,0.00,,31.42,32.69,19.62,31.42,32.69
29,Shariatpur,10.61,10.61,11.20,0.00,0.00,0.00,,38.84,40.79,15.00,38.84,40.79
30,Tangail,51.48,51.47,51.32,0.00,0.00,0.00,,272.90,278.07,274.98,272.90,278.07
Dhaka Division,None,249.02,255.88,250.18,0.05,0.00,0.00,,972.85,999.72,936.76,972.85,999.72
31,Bagerhat,54.58,60.24,57.13,0.00,0.00,0.00,,1031.06,973.54,1139.76,1031.06,973.54
32,Chuadanga,5.67,5.75,6.01,0.00,0.00,0.00,,12.69,12.13,11.34,12.69,12.31
33,Jashore,41.88,43.71,50.41,0.00,0.00,0.00,,388.48,396.27,353.02,388.48,396.27
34,Jhenaidah,26.75,28.17,29.26,0.00,0.00,0.00,,133.74,134.39,128.52,133.74,134.39
35,Khulna,14.52,15.18,16.70,4.96,4.60,4.72,,86.99,90.04,91.82,91.59,94.76
36,Kushtia,15.00,22.00,27.00,0.00,0.00,0.00,,194.00,195.00,134.00,194.00,195.00
37,Magura,50.13,16.52,15.32,0.00,0.00,0.00,,46.01,46.18,207.07,46.01,46.18
38,Meherpur,26.42,28.16,28.62,0.00,0.00,0.00,,38.30,38.17,34.74,38.30,38.17
39,Narail,52.00,69.15,66.41,0.00,0.00,0.00,,29.92,27.72,29.94,29.92,27.72
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Khulna Division,None,286.95,288.88,296.86,4.96,4.60,4.72,,1961.19,1913.00,2130.21,1965.79,1918.34
41,Jamalpur,36.00,40.00,43.00,0.00,0.00,0.00,,38.00,33.00,35.00,38.00,33.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,85.00,85.62,85.63,0.00,0.00,0.00,,170.00,176.00,173.00,170.00,176.00
43,Netrokona,50.00,66.00,65.00,0.00,0.00,0.00,,104.00,184.00,107.64,104.00,184.00
44,Sherpur,15.00,15.00,157.00,0.00,0.00,0.00,,38.00,39.00,36.00,38.00,39.00
Mymensingh Division,None,186.00,206.62,350.63,0.00,0.00,0.00,,350.00,432.00,351.64,350.00,432.00
45,Bogura,8.00,8.00,10.00,0.00,0.00,0.00,,28.00,36.00,24.00,28.00,36.00
46,Joypurhat,9.00,11.00,20.00,0.00,0.00,0.00,,31.00,30.00,23.00,31.00,30.00
47,Naogaon,18.00,24.00,9.00,0.00,0.00,0.00,,34.00,23.00,31.00,34.00,23.00
48,Natore,2.00,20.00,21.00,0.00,0.00,0.00,,61.00,60.00,10.00,61.00,60.00
49,Chapai Nawabganj,19.00,21.00,10.00,0.00,0.00,0.00,,45.00,25.00,40.00,45.00,25.00
50,Pabna,17.00,18.00,41.00,0.00,0.00,0.00,,126.00,240.00,128.00,126.00,240.00
51,Rajshahi,51.00,48.00,49.00,0.00,0.00,0.00,,107.00,104.00,110.00,107.00,104.00
52,Sirajganj,26.00,18.00,19.00,0.00,0.00,0.00,,135.00,136.00,130.00,135.00,136.00
Rajshahi Division,None,150.00,168.00,179.00,0.00,0.00,0.00,,567.00,654.00,496.00,567.00,654.00
53,Dinajpur,15.00,18.00,18.00,0.00,0.00,0.00,,46.00,67.50,41.00,46.00,67.00
54,Gaibandha,17.00,17.00,17.57,0.00,0.00,0.00,,61.00,62.78,59.00,61.00,62.78
55,Kurigram,7.45,7.84,9.00,0.00,0.00,0.00,,22.96,24.00,52.46,23.00,24.00
56,Lalmonirhat,8.32,6.60,7.72,0.00,0.00,0.00,,23.44,20.60,28.77,23.44,20.00
57,Nilphamari,9.06,11.17,12.62,0.00,0.00,0.00,,51.90,47.87,47.24,51.90,47.00
58,Panchagar,18.55,19.03,20.00,0.00,0.00,0.00,,29.11,30.00,25.74,29.11,30.00
59,Rangpur,6.92,7.19,7.46,0.00,0.00,0.00,,49.00,52.80,52.63,49.00,52.80
60,Thakurgaon,7.94,8.03,8.45,0.00,0.00,0.00,,60.97,63.46,59.63,60.97,63.46
Rangpur Divison,None,90.24,94.86,100.82,0.00,0.00,0.00,,344.38,369.01,366.47,344.38,369.01
61,Habiganj,1.20,1.28,2.50,0.00,0.00,0.00,,1.07,1.93,0.97,1.07,1.93
62,Moulvibazar,2.31,0.65,0.68,7.98,0.00,0.00,,5.22,5.29,5.24,5.22,5.29
63,Sunamganj,16.00,17.00,18.00,0.00,0.00,0.00,,29.00,29.40,26.00,29.00,29.40
64,Sylhet,24.10,18.37,19.00,0.00,0.00,0.00,,3.05,4.00,3.56,3.05,4.00
Sylhet Division,None,43.61,36.99,40.18,0.00,0.00,0.00,,38.34,40.62,35.77,38.34,40.62
,BANGLADESH,1525.03,1550.62,1746.61,33.45,22.8,21.49,,5012.13,5816.46,5149.13,5034.93,5837.95
None,None,2021-22,None,2022-23,2 021-22,2023-24,2 022-23,,2023-24,2022-23,2021-22,2023-24,2022-23
1,None,4.32,Barguna,4.31,0.00,131.41,0.00,,0.00,57.50,53.50,46.90,57.50
2,None,6.51,Barishal,3.83,0.00,46.00,0.00,,0.00,109.00,235.00,151.00,109.00
3,None,3.30,Bhola,3.79,0.00,24.26,0.00,,0.00,67.84,73.55,56.27,67.84
4,None,1.49,Jhallokati,1.40,0.00,30.00,0.00,,0.00,26.00,26.00,26.00,26.00
5,None,16.78,Patuakhali,14.87,0.00,200.63,0.00,,0.00,242.76,251.28,272.69,242.76
6,None,0.92,Pirojpur,0.91,0.00,6.34,0.00,,0.00,10.70,10.99,10.85,10.70
Barishal Division,None,33.33,None,29.11,0.00,438.64,0.00,,0.00,513.80,650.32,563.71,513.80
7,None,0.00,Bandarban,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
8,None,1.44,Brahmanbaria,1.10,0.00,33.26,0.00,,0.00,24.58,34.81,34.30,24.58
9,None,7.90,Chandpur,7.89,0.00,37.37,0.00,,0.00,165.21,165.21,168.81,165.21
10,None,0.99,Chattogram,1.02,0.00,2.95,0.00,,0.00,54.83,54.73,55.35,54.83
11,None,4.60,Cumilla,4.61,"11.7
3",98.68,11.94,,12.10,89.54,99.67,91.47,101.48
12,None,0.00,Cox’s Bazar,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
13,None,0.52,Feni,0.52,0.00,2.50,0.00,,0.00,7.00,6.98,10.20,7.00
14,None,0.86,Khagrachari,0.87,0.00,13.95,0.00,,0.00,15.67,15.28,16.97,15.67
15,None,2.05,Lakshmipur,2.06,0.00,13.95,0.00,,0.00,38.91,38.00,36.13,38.91
16,None,4.62,Noakhali,4.73,0.00,18.01,0.00,,0.00,89.20,87.07,89.45,89.20
17,None,0.06,Rangamati,0.06,0.00,1.65,0.00,,0.00,0.00,0.00,0.00,0.00
Chattogram Division,None,23.04,None,22.86,11.73,222.32,11.94,,12.10,484.94,501.75,502.68,496.88
18,None,2.55,Dhaka,2.50,0.00,17.03,0.00,,0.00,69.28,71.86,66.45,69.28
19,None,0.75,Faridpur,0.78,0.00,12.00,0.00,,0.00,22.47,40.25,22.99,22.47
20,None,2.33,Gazipur,2.37,0.00,25.00,0.00,,0.00,60.00,61.00,61.00,60.00
21,None,0.00,Gopalganj,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
22,None,0.10,Kishoreganj,0.10,0.00,0.38,0.00,,0.00,2.40,2.40,2.35,2.40
23,None,0.00,Madaripur,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
24,None,0.10,Manikganj,0.09,0.00,1.03,0.00,,0.00,2.55,2.55,5.15,2.55
25,None,0.91,Munshiganj,0.92,0.00,5.98,0.00,,0.00,23.66,26.17,24.58,23.66
26,None,1.02,Narayanganj,0.99,6.74,2.36,6.63,,4.97,19.76,27.50,18.63,26.39
27,None,0.64,Narsingdi,0.66,0.00,1.50,0.00,,0.00,9.69,10.00,9.57,9.69
28,None,0.00,Rajbari,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
29,None,1.97,Shariatpur,1.84,0.00,11.09,0.00,,0.00,30.00,28.99,28.31,30.00
30,None,1.76,Tangail,1.50,0.00,6.40,0.00,,0.00,36.18,33.76,41.64,36.18
Dhaka Division,None,12.13,None,11.75,6.74,82.77,6.63,,4.97,275.99,304.48,280.67,282.62
31,None,0.00,Bagerhat,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
32,None,0.22,Chuadanga,0.22,0.00,3.90,0.00,,0.00,7.00,8.00,5.90,7.00
33,None,0.82,Jashore,0.87,0.00,7.46,0.00,,0.00,29.00,27.00,28.24,29.00
34,None,0.00,Jhenaidah,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
35,None,1.08,Khulna,1.05,0.00,7.70,0.00,,0.00,51.00,53.00,47.34,51.00
36,None,0.00,Kushtia,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
37,Magura,0.13,None,0.12,0.00,1.45,0.00,,0.00,2.00,2.00,1.76,2.00
38,Meherpur,0.00,None,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
39,Narail,0.00,None,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
40,Satkhira,0.00,None,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Khulna Division,None,2.25,None,2.26,0.00,20.51,0.00,,0.00,89.00,90.00,83.24,89.00
None,None,2021-22,2022-23,2023-24,2 021-22,2 022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
42,Mymensingh,1.74,2.00,22.00,0.00,0.00,0.00,,28.00,28.00,28.00,28.00,28.00
43,Netrokona,0.30,0.32,3.00,0.00,0.00,0.00,,8.00,8.00,8.00,8.00,8.00
44,Sherpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Mymensingh Division,None,2.03,2.32,25.00,0.00,0.00,0.00,,36.00,36.00,36.00,36.00,36.00
45,Bogura,0.35,0.34,2.30,0.00,0.00,0.00,,17.13,10.60,17.87,17.13,10.60
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
47,Naogaon,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
48,Natore,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
50,Pabna,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
51,Rajshahi,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
52,Sirajganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Rajshahi Division,None,0.35,0.34,2.30,0.00,0.00,0.00,,17.13,10.60,17.87,17.13,10.60
53,Dinajpur,0.20,0.20,3.03,0.00,0.00,0.00,,7.03,12.00,7.03,7.03,12.00
54,Gaibandha,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
55,Kurigram,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
56,Lalmonirhat,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
57,Nilphamari,0.72,0.72,7.37,0.00,0.00,0.00,,17.71,17.00,20.38,17.71,17.00
58,Panchagar,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
59,Rangpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
60,Thakurgaon,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Rangpur Divison,None,0.93,0.92,10.40,0.00,0.00,0.00,,24.74,29.00,27.41,24.74,29.00
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,0.16,0.16,2.24,0.00,0.00,0.00,,4.51,4.45,4.40,4.51,4.45
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
64,Sylhet,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Sylhet Division,None,0.16,0.16,2.24,0.00,0.00,0.00,,4.51,4.45,4.40,4.51,4.45
,BANGLADESH,74.21,69.72,804.18,18.47,18.57,17.07,,1446.11,1464.68,1632.23,1464.68,"1527.4
2"
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2 023-24
1,Barguna,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
2,Barishal,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
3,Bhola,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Barishal Division,None,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
7,Bandarban,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
8,Brahmanbaria,0.00,0.08,0.08,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
9,Chandpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
10,Chattogram,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
11,Cumilla,11.99,13.00,13.38,0.00,0.00,0.00,,11.4,13.20,10.86,11.4,"13.2
0"
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
13,Feni,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
14,Khagrachari,29.62,29.52,29.45,0.00,0.00,0.00,,91.84,76.80,91.84,91.84,"76.8
0"
15,Lakshmipur,0.00,0.58,0.70,0.00,0.00,0.00,,1.78,3.24,0.00,1.78,3.24
16,Noakhali,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0,0.00
17,Rangamati,12.29,13.08,13.89,0.00,0.00,0.00,,9.15,13.19,7.87,9.15,"13.1
9"
Chattogram Division,None,53.90,56.26,57.50,0.00,0.00,0.00,,114.17,106.43,110.57,114.17,106.43
18,Dhaka,0.22,0.18,0.15,0.00,0.00,0.00,,1.13,1.10,0.98,1.13,1.10
19,Faridpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
20,Gazipur,63.00,65.00,66.00,0.00,0.00,0.00,,173.80,179.00,171.3,173.8,179.00
