District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden(M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
Barishal Division,None,1002.38,869.91,835.31,0.00,0.00,0.00,,3724.93,"3521.0
7",3709.00,"3724.9
3","3521.0
7"
7,Bandarban,0.00,0.00,20.69,0.00,0.00,0.00,,0.00,56.01,0.00,0.00,56.01
8,Brahmanbaria,42.66,43.72,47.93,0.00,0.00,0.00,,98.46,103.59,97.46,98.46,103.59
9,Chandpur,37.17,37.17,37.17,0.00,0.00,0.00,,412.86,422.86,412.86,412.86,422.86
10,Chattogram,8.10,24.57,25.31,0.00,0.00,0.00,,86.20,87.45,61.05,86.20,87.45
11,Cumilla,116.73,118.89,119.03,0.00,0.00,0.00,,306.06,307.68,301.67,306.06,307.68
12,Cox’s Bazar,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
13,Feni,3.01,3.03,4.44,0.00,0.00,0.00,,26.00,12.80,14.07,26.00,12.80
14,Khagrachari,15.61,112.82,104.77,0.00,0.00,0.00,,237.39,218.81,42.44,237.39,218.81
15,Lakshmipur,58.40,40.16,39.77,0.00,0.00,0.00,,347.53,346.35,0.41,347.53,346.35
16,Noakhali,41.64,42.22,42.56,0.00,0.00,0.00,,558.79,549.30,543.60,558.79,549.30
17,Rangamati,375.70,283.43,282.86,957.81,34.49,32.21,,416.51,392.52,1165.11,451.00,424.73
Chattogram Division,None,699.02,706.01,724.53,957.81,34.49,32.21,,2489.80,"2497.3
7",2638.67,2524.29,"2529.5
8"
18,Dhaka,16.21,27.19,25.35,0.00,0.00,0.00,,425.01,402.08,412.56,425.01,402.08
19,Faridpur,65.00,67.00,68.00,0.00,0.00,0.00,,83.73,88.25,86.54,83.73,88.25
20,Gazipur,22.00,22.00,23.00,0.00,0.00,0.00,,127.10,129.70,127.40,127.10,129.70
21,Gopalganj,60.49,60.10,62.14,0.00,0.00,0.00,,324.59,333.73,307.15,324.59,333.73
22,Kishoreganj,4.11,4.15,7.09,0.00,0.00,0.00,,17.64,17.39,16.93,17.64,17.39
23,Madaripur,24.24,24.14,24.74,0.00,0.00,0.00,,362.82,353.22,374.41,362.82,353.22
24,Manikganj,22.06,14.37,14.34,0.00,0.00,0.00,,90.90,95.19,75.20,90.90,95.19
25,Munshiganj,16.21,16.17,17.04,0.00,0.00,0.00,,152.50,171.71,199.91,152.50,171.71
26,Narayanganj,2.56,2.58,2.53,230.00,7.56,7.56,,21.76,20.58,430.54,29.32,28.14
27,Narsingdi,2.99,3.14,3.18,0.00,0.00,0.00,,35.70,36.15,34.44,35.70,36.15
28,Rajbari,7.60,10.58,12.83,0.00,0.00,0.00,,51.19,65.81,44.50,51.19,65.81
29,Shariatpur,58.25,57.97,54.87,0.00,0.00,0.00,,353.18,341.96,372.12,353.18,341.96
30,Tangail,7.41,8.19,8.74,0.00,0.00,0.00,,66.02,67.42,59.10,66.02,67.42
Dhaka Division,None,309.13,317.58,323.85,230.00,7.56,7.56,,2112.14,"2123.1
9",2540.80,2119.70,"2130.7
5"
31,Bagerhat,36.52,40.77,57.83,0.00,0.00,0.00,,398.61,409.40,394.00,398.61,409.40
32,Chuadanga,1.94,1.99,5.36,0.00,0.00,0.00,,3.91,5.54,4.00,3.91,5.54
33,Jashore,2.82,2.90,3.32,0.00,0.00,0.00,,46.08,48.67,45.00,46.08,48.67
34,Jhenaidah,0.38,0.23,0.23,0.00,0.00,0.00,,0.68,0.70,1.00,0.68,0.70
35,Khulna,18.58,18.60,19.46,0.00,0.00,0.00,,102.87,103.05,106.00,102.87,103.05
36,Kushtia,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
37,Magura,9.47,7.67,7.23,0.00,0.00,0.00,,30.81,30.42,37.00,30.81,30.42
38,Meherpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
39,Narail,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
40,Satkhira,82.15,86.48,83.66,0.00,0.00,0.00,,76.04,73.75,76.00,76.04,73.75
Khulna Division,None,151.86,158.64,177.09,0.00,0.00,0.00,,659.00,671.53,663.00,659.00,671.53
41,Jamalpur,43.00,43.00,44.00,0.00,0.00,0.00,,198.00,203.00,194.00,198.00,203.00
42,Mymensingh,58.00,51.00,62.00,0.00,0.00,0.00,,141.00,142.00,141.00,141.00,142.00
43,Netrokona,23.00,25.00,26.00,0.00,0.00,0.00,,211.00,220.00,182.00,211.00,220.00
44,Sherpur,5.00,4.43,5.00,0.00,0.00,0.00,,34.00,32.00,57.00,34.00,32.00
Mymensingh Division,None,362.00,280.75,137.00,0.00,0.00,0.00,,584.00,597.00,574.00,584.00,597.00
45,Bogura,0.00,0.00,0.20,0.00,0.00,0.00,,1.00,0.85,1.00,1.00,0.85
46,Joypurhat,2.00,2.00,2.52,0.00,0.00,0.00,,16.00,17.60,21.00,16.00,17.60
47,Naogaon,1.00,1.00,0.91,0.00,0.00,0.00,,6.00,7.21,0.00,6.00,7.21
48,Natore,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.00,0.00,0.00
49,Chapai Nawabganj,0.00,0.00,0.21,0.00,0.00,0.00,,1.00,0.97,0.00,1.00,0.97
50,Pabna,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.00,0.00,0.00
51,Rajshahi,2.00,3.00,0.00,0.00,0.00,0.00,,3.00,3.94,3.00,3.00,3.94
52,Sirajganj,1.00,1.00,1.03,0.00,0.00,0.00,,4.00,6.70,4.00,4.00,6.70
Rajshahi Division,None,182.00,201.68,4.87,0.00,0.00,0.00,,31.00,37.27,31.00,31.00,37.27
53,Dinajpur,0.31,0.31,1,0.00,0.00,0.00,,1.69,4.00,1.80,1.69,4.00
54,Gaibandha,1.41,2.04,2.43,0.00,0.00,0.00,,9.83,12.00,5.88,9.83,12.00
55,Kurigram,2.00,2.20,2.00,0.00,0.00,0.00,,31.51,23.00,41.04,31.51,23.00
56,Lalmonirhat,8.06,8.17,8.4,0.00,0.00,0.00,,11.26,12.00,10.85,11.26,12.00
57,Nilphamari,1.88,2.13,2.63,0.00,0.00,0.00,,27.17,28.00,27.67,27.17,28.00
58,Panchagar,2.13,2.66,4.21,0.00,0.00,0.00,,5.67,11.85,4.65,5.67,11.85
59,Rangpur,3.32,3.77,3.94,0.00,0.00,0.00,,63.46,65.00,64.00,63.46,65.00
60,Thakurgaon,3.88,3.89,4,0.00,0.00,0.00,,34.68,34.00,32.40,34.68,34.00
Rangpur Divison,None,386.57,356.49,28.61,0.00,0.00,0.00,,185.27,189.85,188.29,185.27,189.85
61,Habiganj,2.15,4.39,7.31,0.00,0.00,0.00,,5.94,9.42,1.72,5.94,9.42
62,Moulvibazar,10.73,10.79,10.82,0.00,0.00,0.00,,70.46,71.40,67.10,70.46,71.40
63,Sunamganj,257.00,258.00,259.00,0.00,0.00,0.00,,235.00,236.00,231.00,235.00,236.00
64,Sylhet,14.00,22.51,15.00,0.00,14.34,6.75,,56.51,45.13,35.40,70.85,51.88
Sylhet Division,None,283.88,295.69,292.13,0.00,14.34,6.75,,367.91,361.95,335.22,382.25,368.70
BANGLADESH,None,3376.84,3186.75,2523.39,1187.81,56.39,46.52,,10154.05,9999.23,10679.98,10210.44,10045.75
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,38,37.80,31.00,3.12,3.60,5.95,0.82,1.05,2.38,3.94,4.65,8.33
2,Barishal,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
3,Bhola,0,0.00,2.00,0,0.00,10.48,0,0.00,2.67,0,0.00,13.15
4,Jhallokati,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
5,Patuakhali,0,0.34,0.00,0,0.00,0.00,0,1.09,0.00,0,1.09,0.00
6,Pirojpur,0,2.08,2.00,0,0.00,3.74,0,3.98,0.71,0,3.98,4.45
Barishal Division,None,38,40.22,35.00,3.12,3.60,20.17,0.82,6.12,5.76,3.94,9.72,25.93
7,Bandarban,20.90,20.90,20.90,10.33,10.83,10.84,0.05,0.00,0.00,10.38,10.83,10.84
8,Brahmanbaria,20.99,12.97,12.98,15.31,28.06,39.17,0,0.00,0.00,15.31,28.06,39.17
9,Chandpur,0,0.00,1.55,0,0.00,7.70,0,0.00,2.86,0,0.00,10.56
10,Chattogram,5.46,7.50,9.57,15.61,22.31,36.09,0.05,0.07,0.25,15.66,22.38,36.34
11,Cumilla,89.03,99.51,104.41,30.66,25.69,30.92,7.56,12.95,11.25,38.22,38.64,42.17
12,Cox’s Bazar,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
13,Feni,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
14,Khagrachari,19.70,32.41,37.35,19.03,25.37,30.08,1.63,1.57,1.65,20.66,26.94,31.73
15,Lakshmipur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
16,Noakhali,0,2.62,2.76,0,21.18,21.89,0,0.00,0.00,0,21.18,21.89
17,Rangamati,23.06,24.10,37.84,31.15,33.01,50.26,4.14,5.11,12.23,35.29,38.12,62.49
Chattogram Division,None,179.14,200.01,227.36,122.09,166.45,226.95,13.43,19.70,28.24,135.52,186.15,255.19
18,Dhaka,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
19,Faridpur,0,0.70,11.00,0,6.95,757.81,0,0.24,0.00,0,7.19,757.81
20,Gazipur,9,10.00,10.00,6.03,7.30,14.84,4.97,4.70,7.16,11,12.00,22.00
21,Gopalganj,0,0.00,4.39,0,0.00,26.54,0,0.00,0.00,0,0.00,26.54
22,Kishoreganj,10.13,14.37,14.03,5.48,5.79,5.58,1.79,1.82,2.08,7.27,7.61,7.66
23,Madaripur,0,2.35,2.63,0,4.83,5.12,0,0.84,0.92,0,5.67,6.04
24,Manikganj,0,0.60,0.60,0,1.50,1.60,0,0.00,0.00,0,1.50,1.60
25,Munshiganj,0.70,0.66,11.30,3.15,3.69,21.37,0,0.00,0.00,3.15,3.69,21.37
26,Narayanganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
27,Narsingdi,8.30,7.32,7.44,27,27.72,30.06,0,0.02,0.09,27,27.74,30.15
28,Rajbari,4.33,0.00,4.08,56.29,0.00,49.93,7.71,0.00,22.05,64,0.00,71.98
29,Shariatpur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
30,Tangail,0,95.60,105.37,0,457.62,658.13,0,39.56,59.05,0,497.18,717.18
Dhaka Division,None,32.46,131.60,170.84,97.95,515.40,1570.98,14.47,47.18,91.35,112.42,562.58,1662.33
31,Bagerhat,5.56,4.79,5.75,49.90,42.71,49.14,0.07,0.07,22.06,49.97,42.78,71.20
32,Chuadanga,92.31,90.05,118.39,163.78,332.93,460.67,4.29,6.68,10.61,168.07,339.61,471.28
33,Jashore,0,64.94,276.06,0,212.53,661.23,0,2.41,7.34,0,214.94,668.57
34,Jhenaidah,154,183.49,579.08,1598.09,1718.29,2936.19,18.91,22.82,0.00,1617,1741.11,2936.19
35,Khulna,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
36,Kushtia,0,0.00,2.70,0,0.00,9.00,0,0.00,0.00,0,0.00,9.00
37,Magura,0,24.22,16.38,0,5.40,72.31,0,0.07,0.24,0,5.47,72.55
38,Meherpur,0,4.79,5.96,0,5.09,10.75,0,1.46,2.42,0,6.55,13.17
39,Narail,0,3.15,3.15,0,0.00,3.48,0,0.00,0.00,0,0.00,3.48
40,Satkhira,0,13.73,14.60,0,54.99,57.49,0,2.27,2.76,0,57.26,60.25
Khulna Division,None,251.87,389.16,"1022.0
7",1811.77,"2371.9
4","4260.2
6",23.27,35.78,45.43,"1835.0
4","2407.7
2","4305.6
9"
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,3,18.00,18.00,0,1.25,5.78,0,5.75,7.22,0,7.00,13.00
42,Mymensingh,4,44.00,44.00,0,123.69,129.18,0,28.31,26.82,0,152.00,156.00
43,Netrokona,2,17.00,17.00,0,56.18,61.18,0,0.06,0.07,0,56.24,61.25
44,Sherpur,2,10.00,22.00,0,8.56,3.09,0,0.00,1.91,0,8.56,5.00
Mymensingh Division,None,11,89.00,101.00,0,189.68,199.23,0,34.12,36.02,0,223.80,235.25
45,Bogura,1,5.37,18.77,0.99,7.11,142.74,0.01,0.01,0.00,1,7.12,142.74
46,Joypurhat,0,1.91,2.25,0,10.82,9.03,0,1.25,2.77,0,12.07,11.80
47,Naogaon,34,35.47,53.61,140.92,425.22,683.01,0.08,0.42,0.00,141,425.64,683.01
48,Natore,83,125.70,127.88,649.66,"1604.9
9","1743.1
5",3.34,4.31,3.85,653,"1609.3
0","1747.0
0"
49,Chapai Nawabganj,10,20.34,24.88,50.95,99.18,110.59,0.05,0.01,0.00,51,99.19,110.59
50,Pabna,0,6.39,6.61,0,40.33,48.05,0,0.00,0.00,0,40.33,48.05
51,Rajshahi,19.11,31.20,38.70,42.95,156.60,229.86,0.04,0.00,0.77,42.99,156.60,230.63
52,Sirajganj,1.01,1.67,2.99,6.84,13.13,49.39,2.33,0.67,0.28,9.17,13.80,49.67
Rajshahi Division,None,148.12,228.05,275.69,892.31,2357.38,3015.82,5.85,6.67,7.67,898.16,"2364.0
5","3023.4
9"
53,Dinajpur,31,31.07,32.00,39.98,68.63,75.92,0.02,0.88,3.08,40,69.51,79.00
54,Gaibandha,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
55,Kurigram,0,0.00,1.50,0,0.00,0.00,0,0.00,1.40,0,0.00,1.40
56,Lalmonirhat,1.10,1.16,1.24,2.80,6.71,7.70,0,0.01,0.00,2.80,6.72,7.70
57,Nilphamari,8.07,8.34,9.16,98.75,100.74,102.66,0.30,0.41,0.41,99.05,101.15,103.07
58,Panchagar,4.67,6.08,11.24,4.58,5.67,27.95,0,0.01,0.00,4.58,5.68,27.95
59,Rangpur,7.80,7.81,24.16,20.49,20.32,25.78,1.20,1.25,1.75,21.69,21.57,27.53
60,Thakurgaon,4.30,2.90,3.05,0.63,0.64,0.38,0.01,0.00,0.00,0.64,0.64,0.38
Rangpur Divison,None,56.94,57.36,82.35,167.23,202.71,240.39,1.53,2.56,6.64,168.76,205.27,247.03
61,Habiganj,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
62,Moulvibazar,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
63,Sunamganj,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
64,Sylhet,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
Sylhet Division,None,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
BANGLADESH,None,717.53,1135.40,1914.31,3094.47,5807.16,9533.80,59.37,152.13,152.13,3153.84,5959.29,9754.91
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,15.46,11.6,13.80,0.00,0.00,0.00,,2.00,2.00,1.40,2.00,2.00
2,Barishal,81.00,42.00,43.95,0.00,0.00,0.00,,63.00,65.00,57.00,63.00,65.00
3,Bhola,1.36,0.62,1.06,0.00,0.00,0.00,,2.00,2.00,1.00,2.00,2.00
4,Jhallokati,14.00,14.00,14.00,0.00,0.00,0.00,,12.00,12.00,11.00,12.00,12.00
5,Patuakhali,8.55,8.00,8.56,0.00,0.00,0.00,,11.00,11.00,10.00,11.00,11.00
6,Pirojpur,0.97,0.96,0.96,0.00,0.00,0.00,,1.91,1.90,1.97,1.91,1.90
Barishal Division,None,121.34,77.18,82.33,0.00,0.00,0.00,,91.91,93.90,82.37,91.91,93.90
7,Bandarban,21.00,22.00,22.00,0.00,0.00,0.00,,0.89,0.89,0.89,0.89,0.89
8,Brahmanbaria,29.26,29.10,28.99,0.00,0.00,0.00,,25.15,25.26,23.76,25.15,25.26
9,Chandpur,6.54,6.61,6.62,0.00,0.00,0.00,,12.45,13.85,12.15,12.45,13.85
10,Chattogram,5.39,8.08,7.70,0.00,0.00,0.00,,22.39,22.77,13.19,22.39,22.77
11,Cumilla,44.17,49.05,51.06,13.55,15.47,16.06,,22.98,22.84,33.61,38.45,38.90
12,Cox’s Bazar,7.98,7.78,9.58,0.00,0.00,0.00,,4.67,5.53,8.19,4.67,5.53
13,Feni,1.00,1.12,2.01,0.00,0.00,0.00,,1.80,3.00,1.63,1.80,3.00
14,Khagrachari,5.42,5.42,5.36,0.00,0.00,0.00,,1.83,1.08,1.83,1.83,1.08
15,Lakshmipur,9.83,10.00,7.70,0.00,0.00,0.00,,9.85,10.28,9.52,9.85,10.28
16,Noakhali,1.87,2.39,2.85,0.00,0.00,0.00,,0.72,4.16,0.90,0.72,4.16
17,Rangamati,2.50,2.50,2.50,0.00,0.00,0.00,,1.78,2.45,1.70,1.78,2.45
Chattogram Division,None,134.96,144.05,146.36,13.55,15.47,16.06,,104.51,112.10,107.37,119.98,128.16
18,Dhaka,0.00,5.86,5.74,0.00,0.00,0.00,,20.74,19.47,0.00,20.74,19.47
19,Faridpur,18.90,19.10,17.50,0.00,0.00,0.00,,55.26,54.84,54.49,55.26,54.84
20,Gazipur,25.00,28.00,28.00,0.00,0.00,0.00,,20.00,20.00,18.00,20.00,20.00
21,Gopalganj,4.58,5.20,5.10,0.00,0.00,0.00,,10.75,13.82,18.15,10.75,13.82
22,Kishoreganj,6.49,6.85,6.93,0.00,0.00,0.00,,12.04,12.11,11.90,12.04,12.11
23,Madaripur,8.47,8.61,8.62,0.00,0.00,0.00,,27.14,23.42,38.27,27.14,23.42
24,Manikganj,2.33,2.65,5.56,0.00,0.00,0.00,,5.59,6.45,5.04,5.59,6.45
25,Munshiganj,1.60,1.65,1.73,0.00,0.00,0.00,,7.02,8.09,7.11,7.02,8.09
26,Narayanganj,4.58,4.55,4.44,0.00,0.00,0.00,,26.97,25.77,26.96,26.97,25.77
27,Narsingdi,9.99,9.87,10.09,0.00,0.00,0.00,,37.89,39.04,45.94,37.86,39.04
28,Rajbari,2.58,2.45,3.00,0.00,0.00,0.00,,7.72,7.00,9.20,7.72,7.00
29,Shariatpur,4.62,4.62,6.28,0.00,0.00,0.00,,16.09,17.69,14.06,16.09,17.69
30,Tangail,28.46,28.42,28.63,0.00,0.00,0.00,,76.06,81.52,76.75,76.06,81.52
Dhaka Division,None,117.60,127.83,131.61,0.00,0.00,0.00,,323.24,329.22,325.87,323.24,329.22
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,5.59,5.69,5.70,0.00,0.00,0.00,,6.93,6.93,5.00,6.93,6.93
33,Jashore,13.38,15.31,15.31,0.00,0.00,0.00,,144.69,144.69,113.00,144.69,144.69
34,Jhenaidah,12.47,13.50,13.50,0.00,0.00,0.00,,49.37,49.37,47.00,49.37,49.37
35,Khulna,7.82,7.33,7.33,4.48,3.39,2.84,,30.94,31.50,34.00,34.33,34.34
36,Kushtia,10.00,16.00,16.00,0.00,0.00,0.00,,49.00,49.00,34.00,49.00,49.00
37,Magura,14.81,13.16,13.16,0.00,0.00,0.00,,28.65,28.66,57.00,28.65,28.66
38,Meherpur,15.26,17.98,17.99,0.00,0.00,0.00,,14.11,14.12,13.00,14.11,14.12
39,Narail,24.44,24.78,24.78,0.00,0.00,0.00,,8.12,8.13,8.00,8.12,8.13
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Khulna Division,None,103.77,113.75,113.77,4.48,3.39,2.84,,331.81,332.40,311.00,335.20,335.24
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,8.00,14.00,2843.00,0.00,0.00,0.00,,15.00,18.00,10.00,15.00,18.00
42,Mymensingh,17.00,17.00,3810.00,0.00,0.00,0.00,,24.00,25.00,24.00,24.00,25.00
43,Netrokona,20.50,23.16,3648.16,0.00,0.00,0.00,,28.00,28.00,22.00,28.00,28.00
44,Sherpur,2.90,2.93,5.30,0.00,0.00,0.00,,4.00,8.00,4.00,4.00,8.00
Mymensingh Division,None,48.40,57.09,10306.46,0.00,0.00,0.00,,71.00,79.00,60.00,71.00,79.00
45,Bogura,13.39,13.36,14.03,0.00,0.00,0.00,,50.94,28.66,50.05,50.94,28.66
46,Joypurhat,4.42,6.68,28.07,0.00,0.00,0.00,,21.66,24.65,19.36,21.66,24.65
47,Naogaon,5.17,18.70,25.56,0.00,0.00,0.00,,22.04,13.10,20.65,22.04,13.10
48,Natore,8.33,20.58,22.01,0.00,0.00,0.00,,56.39,53.87,28.45,56.39,53.87
49,Chapai Nawabganj,23.45,24.58,20.37,0.00,0.00,0.00,,53.22,55.98,52.67,53.22,55.98
50,Pabna,4.21,7.70,8.61,0.00,0.00,0.00,,16.54,26.85,9.47,16.54,26.85
51,Rajshahi,76.91,77.97,78.86,0.00,0.00,0.00,,107.21,110.47,101.16,107.21,110.47
52,Sirajganj,5.42,6.05,6.48,0.00,0.00,0.00,,16.64,19.76,15.99,16.64,19.76
Rajshahi Division,None,141.30,175.62,203.98,0.00,0.00,0.00,,344.64,333.34,297.80,344.64,333.34
53,Dinajpur,28.00,26.00,17.36,0.00,0.00,0.00,,69.00,70.91,65.00,69.00,70.91
54,Gaibandha,12.98,13.23,13.29,0.00,0.00,0.00,,24.06,24.17,22.90,24.06,24.17
55,Kurigram,7.41,7.50,8.00,0.00,0.00,0.00,,29.45,31.00,29.77,29.45,31.00
56,Lalmonirhat,13.71,9.21,12.23,0.00,0.00,0.00,,16.67,39.68,24.77,16.67,39.68
57,Nilphamari,7.86,9.64,10.49,0.00,0.00,0.00,,26.80,31.62,28.00,26.80,31.62
58,Panchagar,21.08,21.05,21.68,0.00,0.00,0.00,,18.25,19.02,16.32,18.25,19.02
59,Rangpur,7.60,9.95,10.19,0.00,0.00,0.00,,29.18,31.08,25.15,29.18,31.08
60,Thakurgaon,12.83,12.90,13.24,0.00,0.00,0.00,,40.35,42.52,38.51,40.35,42.52
Rangpur Divison,None,111.47,109.48,106.48,0.00,0.00,0.00,,253.76,289.99,250.42,253.76,289.99
61,Habiganj,2.08,2.31,2.45,0.00,0.00,0.00,,1.48,1.83,1.16,1.48,1.83
62,Moulvibazar,4.28,1.41,1.55,0.00,0.00,0.00,,3.07,3.20,3.56,3.07,3.20
63,Sunamganj,5.00,7.00,7.00,0.00,0.00,0.00,,4.00,4.00,3.00,4.00,4.00
64,Sylhet,0.20,0.22,0.36,0.00,0.00,0.00,,0.51,0.25,0.09,0.51,0.25
Sylhet Division,None,11.56,10.94,11.36,0.00,0.00,0.00,,9.06,9.28,7.81,9.06,9.28
BANGLADESH,None,790.40,815.94,795.89,18.03,18.86,18.90,,1529.93,1579.23,1442.64,1548.79,1598.14
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
2,Barishal,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
3,Bhola,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
5,Patuakhali,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Barishal Division,None,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
7,Bandarban,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
8,Brahmanbaria,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
9,Chandpur,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
10,Chattogram,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
11,Cumilla,3.00,4.01,4.37,0.00,0.00,0.00,,3.44,3.66,2.00,3.44,3.66
12,Cox’s Bazar,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
13,Feni,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
14,Khagrachari,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
15,Lakshmipur,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
16,Noakhali,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
17,Rangamati,0.31,0.68,0.64,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Chattogram Division,None,3.31,4.69,5.01,0.00,0.00,0.00,,3.44,3.66,2.00,3.44,3.66
18,Dhaka,1.84,1.93,1.80,0.00,0.00,0.00,,2.32,2.50,2.13,2.32,2.5
19,Faridpur,10.80,10.20,10.00,0.00,0.00,0.00,,19.45,20.38,20.62,19.45,20.38
20,Gazipur,17.00,19.00,18.00,0.00,0.00,0.00,,77.00,76.00,74.00,77.00,76.00
21,Gopalganj,0.48,0.67,0.69,0.00,0.00,0.00,,1.35,1.47,0.90,1.35,1.47
22,Kishoreganj,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
23,Madaripur,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
24,Manikganj,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,1.14,1.41,1.52,0.00,0.00,0.00,,4.32,5.82,3.72,4.32,5.82
26,Narayanganj,2.84,2.75,2.61,6.96,6.87,6.79,,22.75,27.52,30.28,29.62,34.31
27,Narsingdi,0.33,0.44,0.48,0.00,0.00,0.00,,0.55,0.60,0.41,0.55,0.6
28,Rajbari,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
29,Shariatpur,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
30,Tangail,0.65,0.65,0.66,0.00,0.00,0.00,,0.83,1.09,0.83,0.83,1.09
Dhaka Division,None,35.08,37.05,35.76,6.96,6.87,6.79,,128.57,135.38,132.89,135.44,142.17
31,Bagerhat,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,0.35,0.35,1.46,0.00,0.00,0.00,,0.32,0.56,0.48,0.32,0.56
33,Jashore,3.61,4.28,3.70,0.00,0.00,0.00,,8.00,8.92,7.00,8.00,8.92
34,Jhenaidah,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
35,Khulna,1.35,1.39,3.78,0.00,0.00,0.00,,1.00,2.86,2.00,1.00,2.86
36,Kushtia,0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
37,Magura,1.49,1.49,1.58,0.00,0.00,0.00,,0.00,2.59,3.00,0.00,2.59
